1	"1st Trimester"	1	1	"ANC"	"Pregnancy"	"Congratulations on your pregnancy! Have you gone for your first ANC visit? You should be checked at the health centre at least four times during your pregnancy to ensure a healthy pregnancy and a healthy baby."	"Congratulations on your pregnancy! Have you gone to the clinic? You should be checked at least 4 times at a health centre to ensure a healthy pregnancy/baby."	157	
2	"1st Trimester"	1	3	"ANC"	"Pregnancy"	"Have you told someone you trust about your pregnancy? Tell your partner, a friend or family member early on so that they can support you."	"Have you told someone you trust about your pregnancy? Tell your partner, a friend or family member early on so that they can support you."	137	
6	"1st Trimester"	1	5	"PMTCT"	"Pregnancy"	"Do you know your HIV status? HIV positive mothers can prevent their babies from being infected with HIV by taking action. Visit the health centre with your partner for testing."	"Do you know your HIV status? Mothers can prevent their babies from being infected with HIV by taking action. Visit a health centre with your partner for testing"	160	
11	"1st Trimester"	2	1	"Malaria"	"Pregnancy"	"Are you sleeping under a mosquito net every night to prevent malaria? Malaria can harm a mother and her baby and can cause babies to be born small or born dead.  Talk to your health worker if you don't have a mosquito net."	"Do you sleep under a mosquito net at night to stop malaria? Malaria harms a mothers and babies. It causes babies to be born small or born dead. Get a net!"	154	"CB: Where can they get a net - definitely at health centres?"
14	"1st Trimester"	2	3	"Nutrition"	"Pregnancy"	"Get enough rest and drink plenty of boiled water and fresh fruit juice. Drink milk. Eat healthy foods like fruits, greens and vegetables, beans and g-nuts at least four times a day. Try to take eggs, meat or fish at least 2 times per week. Do not eat soil or clay, as these can harm you and your baby."	"Stay healthy! Drink a lot of boiled water, juice and milk. Eat healthy four times a day: fruit, vegetables, beans or g-nuts. Eggs, meat or fish two times a week"	160	"CB: Added soil/clay message to drinking water alert below since there was no room"
3	"1st Trimester"	2	5	"ANC"	"Pregnancy"	"Have you gone for your first ANC visit? Every pregnant woman should go to the health centre for at least 4 ANC visits during her pregnancy. Go to the health centre for a check as soon as you know you are pregnant."	"Have you gone for your first health visit? Every pregnant woman should go to the health centre for at least 4 visits. Go as soon as you know you are pregnant."	158	
20	"1st Trimester"	3	1	"Birth Planning"	"Pregnancy"	"Have you thought about where you will deliver your baby and what you will do if you have a problem during the pregnancy?  Speak with your partner or family, the VHT or health worker now, to start making plans.  "	"Do you know where you will have your baby? What will you do if there is a problem during pregnancy? Speak with your family or health worker now, to make a plan."	160	
27	"1st Trimester"	3	4	"Danger Signs"	"Pregnancy"	"Go to the health centre immediately if you have vaginal bleeding, fever, severe headache or blurred vision, swelling of your face or body, convulsions or severe pain in the lower part of your belly.  "	"Go to a health centre NOW if you have vaginal bleeding, fever, bad headache or blurred vision, swelling of face or body, convulsions or bad pain in lower  belly"	160	
7	"1st Trimester"	4	1	"PMTCT"	"Pregnancy"	"Do you know that transmission of HIV from mother to child can be prevented? If you (or a pregnant woman you know) are HIV infected and you receive medicine, do not forget to take it! This can prevent your baby from getting infected."	"Do you know that the move of HIV from mother to child can be stopped? If you have HIV remember to take your medicine to prevent your baby from getting infected."	160	
12	"1st Trimester"	4	3	"Malaria"	"Pregnancy"	"Do you sleep under a mosquito net every night? You can prevent malaria by closing your windows and doors before dark and sleeping under a net every night. Talk to your health worker if you don't have a mosquito net."	"You can prevent malaria by closing your windows and doors before dark and sleeping under a net every night. Visit a health worker if you need a mosquito net!"	157	
21	"1st Trimester"	4	5	"Birth Planning"	"Pregnancy"	"Prepare for labour or for a complication: Where will you go for treatment? How will you reach there? Do you have money set aside? Who will take care of your family and home while you are away?  Make a plan and discuss with your partner and family members and friends."	"Make a pregnancy plan: Where to go for treatment? How to get there? Is there money set aside? Who will help at home if you are away? Talk to family and friends."	160	
28	"1st Trimester"	5	1	"Danger Signs"	"Pregnancy"	"Recognize danger signs like vaginal bleeding, severe belly pain, fever, headache, blurred vision or swelling. Go to the health centre immediately if you have any of these problems."	"Know danger signs like vaginal bleeding, severe belly pain, fever, headache, blurred vision or swelling. Go to the health centre NOW if you have these problems."	160	
22	"1st Trimester"	5	3	"Birth Planning"	"Pregnancy"	"All women should give birth in a health facility with a doctor, nurse or midwife. Is there a nurse or midwife at the place where you will give birth? Discuss with your health worker, partner, friends and family and make a plan."	"Women should give birth in a health clinic with a doctor, nurse or midwife. Where will you give birth? Talk to a health worker, family or friends. Make a plan"	158	
8	"1st Trimester"	6	1	"PMTCT"	"Pregnancy"	"Have you and your partner been tested for HIV? Go to a health facility for testing. If you or your partner is HIV positive, talk to your health worker about preventing transmission of HIV to your baby."	"Have you and your partner been tested? Go to a health centre for HIV testing and talk to a health worker about preventing infection of your baby."	145	
4	"1st Trimester"	6	3	"ANC"	"Pregnancy"	"Have you gone for your first ANC visit?  Visit the health centre as soon as possible to be checked for anaemia, syphilis, HIV and TB, and to receive medicines to build your blood and prevent malaria and tetanus."	"Have you visited a clinic? Visit the health centre to check for anaemia, sphyilis, HIV and TB, and to get medicine to build your blood, for malaria and tetanus."	160	
15	"1st Trimester"	6	5	"Nutrition"	"Pregnancy"	"Stay healthy!  Avoid alcohol, drugs, tobacco and herbal medicines, as these can harm your baby."	"Stay healthy! Preganant women should not use alcohol, drugs, tobacco or herbal medicines because these can harm your baby."	122	
19	"1st Trimester"	7	1	"Hygiene"	"Pregnancy"	"Keep your body clean by bathing regularly. Brush your teeth every day.  Always wash your hands after using the latrine, before eating and before preparing food."	"Keep your body clean by bathing regularly. Brush your teeth every day.  Always wash your hands after using the latrine, before eating and before preparing food."	160	
23	"1st Trimester"	7	3	"Birth Planning"	"Pregnancy"	"How will you get to the health facility when you go into labour? Have you set aside enough money to get there? Make a plan and discuss it with your partner, friends and family members - for the health of you and your baby!"	"How will you get to a health clinic when you go into labour? Is there enough money to go there? Make a plan and discuss with your partner, friends and family."	158	
